Protein,PPV,Beff,Length,TMscore
1AHSC,0.203,21.0,378,0.000
1C2YD,0.413,1.0,3100,0.000
1C9YA,0.567,1.0,321,0.000
1CCTA,0.153,1.0,255,0.000
1COZA,0.357,1.0,252,0.000
1DBRA,0.444,1.0,876,0.000
1DCHF,0.515,1.0,792,0.000
1EDIA,0.246,6.0,56,0.000
1EFDN,0.461,1.0,262,0.000
1F46B,0.520,4.0,279,0.000
1F68A,0.259,1.0,3090,0.000
1FHIA,0.589,37.0,125,0.000
1FJRB,0.289,1.0,376,0.000
1FS0G,0.328,17.0,347,0.000
1G61A,0.229,1.0,450,0.000
1GJJA,0.139,36.0,93,0.000
1GLGA,0.573,1.0,309,0.000
1GPSA,0.336,184.0,376,0.000
1H68A,0.447,1.0,218,0.000
1I95E,0.367,1.0,2410,0.000
1I97T,0.456,1.0,2410,0.000
1IMBB,0.493,2.0,544,0.000
1IMXA,0.320,14.0,56,0.000
1IR1S,0.143,33.0,2340,0.000
1IS9A,0.313,1.0,358,0.000
1JGPR,0.485,68.0,2396,0.000
1JH0L,0.136,1.0,819,0.000
1K6LH,0.167,1.0,823,0.000
1KNVB,0.122,1.0,581,0.000
1KNYB,0.346,10.0,506,0.000
1KQPA,0.476,120.0,542,0.000
1LDIA,0.482,1.0,254,0.000
1LQKB,0.568,85.0,268,0.000
1M12A,0.169,1.0,1680,0.000
1MB6A,0.672,4.0,700,0.000
1MFRP,0.444,20.0,4104,0.000
1MR7A,0.475,1.0,1217,0.000
1N2ZB,0.564,1.0,490,0.000
1N5BA,0.515,1.0,497,0.000
1N60C,0.227,1.0,2490,0.000
1NQLB,0.200,18.0,660,0.000
1OAGA,0.338,1.0,249,0.000
1OTFF,0.533,31.0,354,0.000
1P3HE,0.535,1.0,1379,0.000
1PCFA,0.553,12.0,528,0.000
1PDFE,0.231,6.0,3744,0.000
1PS1A,0.409,1.0,608,0.000
1RD9D,0.154,1.0,515,0.000
1RH7C,0.175,33.0,486,0.000
1RL9A,0.353,1.0,356,0.000
1S3FB,0.399,1.0,499,0.000
1S68A,0.396,1.0,233,0.000
1SUDA,0.591,1.0,274,0.000
1SWXA,0.280,2.0,198,0.000
1SYHA,0.473,1.0,259,0.000
1TD4A,0.512,1.0,102,0.000
1TFKB,0.188,1.0,180,0.000
1TJLD,0.307,1.0,1450,0.000
1UWZB,0.594,1.0,260,0.000
1VCRA,0.364,2.0,101,0.000
1VJNA,0.535,1.0,375,0.000
1VQZA,0.447,1.0,326,0.000
